Survey: Fri Sep  2 08:58:04 2016
Index 5 ---> lat: 37.9246489319, lon: -91.7728476567, alt: 7.26004645176
Index 6 ---> lat: 37.9246476277, lon: -91.7726988535, alt: 7.26004645176
Index 7 ---> lat: 37.9247963919, lon: -91.7726952092, alt: 7.26004645176
Index 8 ---> lat: 37.9249451562, lon: -91.772691565, alt: 7.26004645176
Index 9 ---> lat: 37.924943852, lon: -91.7725427618, alt: 7.26004645176
Index 10 ---> lat: 37.9247950877, lon: -91.7725464061, alt: 7.26004645176
Index 11 ---> lat: 37.9246463235, lon: -91.7725500504, alt: 7.26004645176
Index 12 ---> lat: 37.9246450193, lon: -91.7724012472, alt: 7.26004645176
Index 13 ---> lat: 37.9247937835, lon: -91.7723976029, alt: 7.26004645176
Index 14 ---> lat: 37.9249425478, lon: -91.7723939587, alt: 7.26004645176

###########################################

Survey: Fri Sep  2 09:43:48 2016
Index 0 ---> lat: 37.9243792165, lon: -91.7729516123, alt: 14.5200929035
Index 1 ---> lat: 37.924676186, lon: -91.7729319803, alt: 14.5200929035
Index 2 ---> lat: 37.9249731555, lon: -91.7729123483, alt: 14.5200929035
Index 3 ---> lat: 37.9249713531, lon: -91.772614736, alt: 14.5200929035
Index 4 ---> lat: 37.9246743836, lon: -91.772634368, alt: 14.5200929035
Index 5 ---> lat: 37.9243774141, lon: -91.772654, alt: 14.5200929035
Index 6 ---> lat: 37.9243756117, lon: -91.7723563878, alt: 14.5200929035

###########################################

Survey: Fri Sep  2 09:52:52 2016
Index 0 ---> lat: 37.9243427384, lon: -91.772996678, alt: 10.2672561555
Index 1 ---> lat: 37.9245528822, lon: -91.7729853761, alt: 10.2672561555
Index 2 ---> lat: 37.924763026, lon: -91.7729740741, alt: 10.2672561555
Index 3 ---> lat: 37.9249731699, lon: -91.7729627722, alt: 10.2672561555
Index 4 ---> lat: 37.9249725422, lon: -91.7727523256, alt: 10.2672561555
Index 5 ---> lat: 37.9247623984, lon: -91.7727636276, alt: 10.2672561555
Index 6 ---> lat: 37.9245522546, lon: -91.7727749295, alt: 10.2672561555
Index 7 ---> lat: 37.9243421108, lon: -91.7727862314, alt: 10.2672561555
Index 8 ---> lat: 37.9243414832, lon: -91.7725757848, alt: 10.2672561555
Index 9 ---> lat: 37.924551627, lon: -91.7725644829, alt: 10.2672561555
Index 10 ---> lat: 37.9247617708, lon: -91.772553181, alt: 10.2672561555
Index 11 ---> lat: 37.9249719146, lon: -91.772541879, alt: 10.2672561555
Index 12 ---> lat: 37.924971287, lon: -91.7723314325, alt: 10.2672561555
Index 13 ---> lat: 37.9247611432, lon: -91.7723427344, alt: 10.2672561555

###########################################

Survey: Fri Sep  2 09:59:02 2016
Index 0 ---> lat: 37.9243774566, lon: -91.7729909403, alt: 10.2672561555
Index 1 ---> lat: 37.9245875577, lon: -91.7729788701, alt: 10.2672561555
Index 2 ---> lat: 37.9247976588, lon: -91.7729667999, alt: 10.2672561555
Index 3 ---> lat: 37.9250077599, lon: -91.7729547298, alt: 10.2672561555
Index 4 ---> lat: 37.9250046746, lon: -91.7727443049, alt: 10.2672561555
Index 5 ---> lat: 37.9247945736, lon: -91.772756375, alt: 10.2672561555
Index 6 ---> lat: 37.9245844725, lon: -91.7727684452, alt: 10.2672561555
Index 7 ---> lat: 37.9243743714, lon: -91.7727805154, alt: 10.2672561555
Index 8 ---> lat: 37.9243712861, lon: -91.7725700905, alt: 10.2672561555
Index 9 ---> lat: 37.9245813872, lon: -91.7725580203, alt: 10.2672561555
Index 10 ---> lat: 37.9247914883, lon: -91.7725459501, alt: 10.2672561555
Index 11 ---> lat: 37.9250015894, lon: -91.77253388, alt: 10.2672561555
Index 12 ---> lat: 37.9249985041, lon: -91.7723234551, alt: 10.2672561555
Index 13 ---> lat: 37.924788403, lon: -91.7723355252, alt: 10.2672561555

###########################################

Survey: Fri Sep  2 10:05:03 2016
Index 0 ---> lat: 37.9244191792, lon: -91.7730111654, alt: 8.3831795465
Index 1 ---> lat: 37.9245907025, lon: -91.7730009086, alt: 8.3831795465
Index 2 ---> lat: 37.9247622258, lon: -91.7729906519, alt: 8.3831795465
Index 3 ---> lat: 37.9249337491, lon: -91.7729803952, alt: 8.3831795465
Index 4 ---> lat: 37.9249299709, lon: -91.772808607, alt: 8.3831795465
Index 5 ---> lat: 37.9247584476, lon: -91.7728188638, alt: 8.3831795465
Index 6 ---> lat: 37.9245869243, lon: -91.7728291205, alt: 8.3831795465
Index 7 ---> lat: 37.924415401, lon: -91.7728393773, alt: 8.3831795465
Index 8 ---> lat: 37.9244116228, lon: -91.7726675891, alt: 8.3831795465
Index 9 ---> lat: 37.9245831461, lon: -91.7726573324, alt: 8.3831795465
Index 10 ---> lat: 37.9247546694, lon: -91.7726470756, alt: 8.3831795465
Index 11 ---> lat: 37.9249261927, lon: -91.7726368189, alt: 8.3831795465
Index 12 ---> lat: 37.9249224145, lon: -91.7724650307, alt: 8.3831795465
Index 13 ---> lat: 37.9247508912, lon: -91.7724752875, alt: 8.3831795465
Index 14 ---> lat: 37.924579368, lon: -91.7724855442, alt: 8.3831795465
Index 15 ---> lat: 37.9244078447, lon: -91.772495801, alt: 8.3831795465

###########################################

